priority,accession_number,title,record_type,collection_name,historical_theme,people,object_date,donor,neighborhood,observation_reasons,notes
high,SRM-2026-047,Annual meeting group photograph of the Mississippi Negro Brewers Association,Photograph,Photograph Collection,Community and Professional Life,,,,,generic subject title; no named people on person-centered image; missing object date; missing donor/provenance; missing geography/neighborhood,Caption is partially obscured and should be verified from the original print.
high,SRM-2026-076,Portrait photograph of Medgar Evers with unidentified man,Photograph,Photograph Collection,Civic Leadership,Medgar Evers,,,"Jackson, Mississippi",tentative interpretation; unidentified subject; missing object date; missing donor/provenance,Source image: Untitled design (38)/2.png. One subject identified as Medgar Evers; second subject remains unidentified.
high,SRM-2026-118,Portrait of elderly woman holding infant,Photograph,Photograph Collection,Midwives and Motherhood,,,,Geographies To Be Confirmed,verify/confirm language; tentative interpretation; no named people on person-centered image; missing object date; missing donor/provenance,Subjects are unidentified in the current image. Confirm names
high,SRM-2026-120,Photograph of child receiving oral examination,Photograph,Photograph Collection,Community and Professional Life,,,,Geographies To Be Confirmed,tentative interpretation; no named people on person-centered image; missing object date,
high,SRM-2026-121,Photograph of house exterior,Photograph,Photograph Collection,Family And Local Life,,,,Geographies To Be Confirmed,tentative interpretation; no named people on person-centered image; missing object date,"May support interpretation of domestic space, neighborhood history, or property documentation."
high,SRM-2026-209,Farish Street group photograph,Photograph,Original SRM Intake Review,Family And Local Life,,,,Farish Street,generic subject title; no named people on person-centered image; missing object date; missing donor/provenance,"Date range and location provided by user on July 18, 2026."
high,SRM-2026-295,Formal group portrait on institutional steps,Photograph,Dr. Townsend Collection,Community and Professional Life,,,,Geographies To Be Confirmed,tentative interpretation; generic subject title; no named people on person-centered image; missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 2.png."
high,SRM-2026-304,Older man seated with cane,Photograph,Dr. Townsend Collection,Portraiture and Community Memory,,,,Geographies To Be Confirmed,tentative interpretation; generic subject title; no named people on person-centered image; missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 11.png."
high,SRM-2026-322,Nineteenth-century group portrait of seven men,Photograph,Dr. Townsend Collection,Civic Leadership,,,,Geographies To Be Confirmed,tentative interpretation; generic subject title; no named people on person-centered image; missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 29.png."
high,SRM-2026-325,Studio portrait of unidentified infant,Photograph,Dr. Townsend Collection,Midwives and Motherhood,,,,Geographies To Be Confirmed,unidentified subject; no named people on person-centered image; missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 32.png."
high,SRM-2026-326,Portrait of three unidentified young people,Photograph,Dr. Townsend Collection,Portraiture and Community Memory,,,,Geographies To Be Confirmed,unidentified subject; no named people on person-centered image; missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 33.png."
high,SRM-2026-328,Full-length portrait of unidentified woman with handbag,Photograph,Dr. Townsend Collection,Portraiture and Community Memory,,,,Geographies To Be Confirmed,unidentified subject; no named people on person-centered image; missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 35.png."
high,SRM-2026-334,Close-up portrait of young man with lowered head,Photograph,Dr. Townsend Collection,Portraiture and Community Memory,,,,Geographies To Be Confirmed,tentative interpretation; no named people on person-centered image; missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 41.png."
high,SRM-2026-335,Man speaking to boys indoors,Photograph,Dr. Townsend Collection,African American Education,,,,Geographies To Be Confirmed,tentative interpretation; no named people on person-centered image; missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 42.png."
high,SRM-2026-337,Bust-length portrait of unidentified woman with high bun,Photograph,Dr. Townsend Collection,Portraiture and Community Memory,,,,Geographies To Be Confirmed,unidentified subject; no named people on person-centered image; missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 44.png."
high,SRM-2026-346,Group photograph in front of building and construction site,Photograph,Dr. Townsend Collection,Black Health and Medicine,"William E. Miller, M.D. (associated label)",,,Geographies To Be Confirmed,tentative interpretation; generic subject title; missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 53.png."
high,SRM-2026-350,Head-and-shoulders portrait of unidentified young woman,Photograph,Dr. Townsend Collection,Portraiture and Community Memory,,,,Geographies To Be Confirmed,unidentified subject; no named people on person-centered image; missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 57.png."
high,SRM-2026-351,Studio portrait of unidentified woman wearing glasses,Photograph,Dr. Townsend Collection,Portraiture and Community Memory,,,,Geographies To Be Confirmed,unidentified subject; no named people on person-centered image; missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 58.png."
high,SRM-2026-475,"Portrait of an unidentified woman in hat and fur collar, undated",Photograph,,Portraiture and Community Memory,,undated,,Geographies To Be Confirmed,tentative interpretation; unidentified subject; no named people on person-centered image,"Imported from /Users/Birittany/Downloads/SRM (1)/3.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
high,SRM-2026-570,"Portrait of unidentified older woman in sequined heart sweater, undated",Photograph,Photograph Collection,Family And Local Life,unidentified woman,undated,,Geographies To Be Confirmed,tentative interpretation; unidentified subject,"Imported from /Users/Birittany/Downloads/Freedom Day Celebration 1991.zip item 1.png on 2026-07-29. Metadata drawn from visual review of the image on July 29, 2026."
high,SRM-2026-575,"Portrait photograph of unidentified man in pinstripe suit, undated",Photograph,Photograph Collection,Portraiture and Community Memory,unidentified man,undated,,Geographies To Be Confirmed,tentative interpretation; unidentified subject, or professional context.
high,SRM-2026-780,"Large outdoor youth group portrait, possibly associated with Mrs. Minnie Jarvis's Girl Scouts, undated",Photograph,,African American Education,,undated,,,tentative interpretation; generic subject title; no named people on person-centered image; missing geography/neighborhood,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/6.png on 2026-08-05. Handwritten note appears to read: ""I am thinking that these are Mrs. Minnie Jarvis' girl scouts."""
high,SRM-2026-781,"Studio portrait of an unidentified man in suit, undated",Photograph,,Portraiture and Community Memory,,undated,,,unidentified subject; no named people on person-centered image; missing geography/neighborhood,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/7.png on 2026-08-05."
high,SRM-2026-783,"Studio portrait of an unidentified young man, undated",Photograph,,Portraiture and Community Memory,,undated,,,unidentified subject; no named people on person-centered image; missing geography/neighborhood,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/9.png on 2026-08-05."
high,SRM-2026-785,"Sepia portrait of an unidentified man, undated",Photograph,,Portraiture and Community Memory,,undated,,,unidentified subject; no named people on person-centered image; missing geography/neighborhood,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/11.png on 2026-08-05."
high,SRM-2026-786,"Color snapshot of an unidentified man standing outdoors, undated",Photograph,,Portraiture and Community Memory,,undated,,,unidentified subject; no named people on person-centered image; missing geography/neighborhood,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/12.png on 2026-08-05."
high,SRM-2026-810,"Studio portrait of an unidentified service member, undated",Photograph,WWII Soldiers Collection,Portraiture and Community Memory,,undated,,,unidentified subject; no named people on person-centered image; missing geography/neighborhood,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/50.png on 2026-08-05."
high,SRM-2026-811,"Studio portrait of an unidentified soldier in uniform, undated",Photograph,WWII Soldiers Collection,Portraiture and Community Memory,,undated,,,unidentified subject; no named people on person-centered image; missing geography/neighborhood,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/51.png on 2026-08-05."
high,SRM-2026-812,"Outdoor portrait of an unidentified man, undated",Photograph,,Portraiture and Community Memory,,undated,,,unidentified subject; no named people on person-centered image; missing geography/neighborhood,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/52.png on 2026-08-05."
high,SRM-2026-813,"Studio portrait of an unidentified serviceman, undated",Photograph,WWII Soldiers Collection,Portraiture and Community Memory,,undated,,,unidentified subject; no named people on person-centered image; missing geography/neighborhood,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/53.png on 2026-08-05."
high,SRM-2026-814,"Studio portrait of an unidentified Air Force serviceman, undated",Photograph,WWII Soldiers Collection,Portraiture and Community Memory,,undated,,,unidentified subject; no named people on person-centered image; missing geography/neighborhood,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/54.png on 2026-08-05."
high,SRM-2026-815,"Full-length portrait of an unidentified serviceman outdoors, undated",Photograph,WWII Soldiers Collection,Portraiture and Community Memory,,undated,,,unidentified subject; no named people on person-centered image; missing geography/neighborhood,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/56.png on 2026-08-05."
high,SRM-2026-816,"Indoor portrait of an unidentified couple, undated",Photograph,,Family And Local Life,,undated,,,unidentified subject; no named people on person-centered image; missing geography/neighborhood,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/57.png on 2026-08-05."
high,SRM-2026-817,"Studio portrait of an unidentified smiling serviceman, undated",Photograph,WWII Soldiers Collection,Portraiture and Community Memory,,undated,,,unidentified subject; no named people on person-centered image; missing geography/neighborhood,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/59.png on 2026-08-05."
high,SRM-2026-818,"Portrait of an unidentified man in suit and tie, undated",Photograph,,Portraiture and Community Memory,,undated,,,unidentified subject; no named people on person-centered image; missing geography/neighborhood,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/60.png on 2026-08-05."
high,SRM-2026-823,"Portrait of an unidentified decorated U.S. serviceman, undated",Photograph,WWII Soldiers Collection,Portraiture and Community Memory,,undated,,,unidentified subject; no named people on person-centered image; missing geography/neighborhood,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/66.png on 2026-08-05."
high,SRM-2026-824,"Portrait of an unidentified U.S. serviceman in dress uniform, undated",Photograph,WWII Soldiers Collection,Portraiture and Community Memory,,undated,,,unidentified subject; no named people on person-centered image; missing geography/neighborhood,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/67.png on 2026-08-05."
high,SRM-2026-829,"Portrait of an unidentified woman, undated",Photograph,,Portraiture and Community Memory,,undated,,,unidentified subject; no named people on person-centered image; missing geography/neighborhood,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/73.png on 2026-08-05. Legacy accession label visible in image: 87.19.13."
high,SRM-2026-830,"Profile portrait of an unidentified woman, undated",Photograph,,Portraiture and Community Memory,,undated,Atty. William Miller III,,unidentified subject; no named people on person-centered image; missing geography/neighborhood,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/74.png on 2026-08-05. Legacy accession label visible in image: 86.22.1. Donor context supplied on August 6, 2026."
high,SRM-2026-832,"Studio portrait of an unidentified infant, undated",Photograph,,Family And Local Life,,undated,Atty. William Miller III,,unidentified subject; no named people on person-centered image; missing geography/neighborhood,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/77.png on 2026-08-05. Legacy accession label visible in image: 86.22.8. Donor context supplied on August 6, 2026."
high,SRM-2026-833,"Portrait of an unidentified woman in striped dress, undated",Photograph,,Portraiture and Community Memory,,undated,,,unidentified subject; no named people on person-centered image; missing geography/neighborhood,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/78.png on 2026-08-05."
high,SRM-2026-836,"Graduation portrait of an unidentified woman, Jackson College class of 1937",Photograph,,African American Education,,1937,,,unidentified subject; no named people on person-centered image; missing geography/neighborhood,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/84.png on 2026-08-05. Beadle Studio imprint reads Jackson, Mississippi. Handwritten inscription includes ""Jackson College"" and ""Class of 1937."""
high,SRM-2026-840,"Sepia full-length portrait of an unidentified woman outdoors, undated",Photograph,,Portraiture and Community Memory,,undated,,,unidentified subject; no named people on person-centered image; missing geography/neighborhood,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/153.png on 2026-08-05."
medium,SRM-2026-020,Mississippi Board of Barber Examiners Certificate for Clarence Gray,Artifact,Barbering and Community Life Collection,Black Business and Professional Life,Clarence Gray,1945,,,verify/confirm language; tentative interpretation; text read from photograph; missing donor/provenance; missing geography/neighborhood,"Text read from photograph; verify certificate number, exact dates, and whether the black name panel is original to the object. Photo shows partial lettering 'C. E. GRA'."
medium,SRM-2026-024,"Maroon and White yearbooks, 1952 and 1954",Archive,Original SRM Intake Review,African American Education,,1952; 1954,,,verify/confirm language; missing donor/provenance; missing geography/neighborhood,Not a Smith Robertson School record. Verify school name and whether each volume should be cataloged separately.
medium,SRM-2026-028,Membership Directory of Historic Mount Helm Baptist Church 135th Anniversary Program,Archive,Church and Community History Collection,Faith And Community Life,Dr. T. B. Brown,1970,,Downtown Jackson,verify/confirm language; missing donor/provenance,"Cover lists Dr. T. B. Brown, Pastor, and Jackson, Mississippi. Verify address and full program contents."
medium,SRM-2026-030,"A Collection of Memories: Smith Robertson School, 1894–1970",Archive,School History Collection,African American Education,Dr. Jessie Mosley; Doris Tharpe Hall; A. N. Jackson; Alferdteen Harrison; James Rundle; Myrtle Glascoe; Theresa Martin; Walter Scott; Cleopatra Thompson; Sophia Taylor; Mattie Collins; Gustava Gooden,1970,,Smith Robertson Campus,verify/confirm language; tentative interpretation; missing donor/provenance,This appears to be a distinct item from the Mount Helm anniversary program already cataloged. Verify full pagination and title page details.
medium,SRM-2026-031,Portrait photograph of Smith Robertson,Photograph,Photograph Collection,Portraiture and Community Memory,Smith Robertson,,,,missing object date; missing donor/provenance; missing geography/neighborhood,"Identification updated from image review. Check verso, matting, or related files for date and provenance details."
medium,SRM-2026-048,Civil rights demonstration photograph with linked arms,Photograph,Civil Rights Collection,Civil Rights and Citizenship,,,,,no named people on person-centered image; missing object date; missing donor/provenance; missing geography/neighborhood,"Location, photographer, and exact event are not identified from the image alone."
medium,SRM-2026-049,Alcorn Agricultural and Mechanical College Eighty-Ninth Annual Commencement program,Archive,Education Collection,African American Education,,1960-05-23 00:00:00,,,verify/confirm language; tentative interpretation; missing donor/provenance; missing geography/neighborhood,Front cover only is shown; confirm full contents and whether any names are listed inside.
medium,SRM-2026-050,Student Nonviolent Coordinating Committee 1967 calendar,Archive,Civil Rights Collection,Civil Rights and Citizenship,Bob Fletcher; Julius Lester,1967,,,tentative interpretation; missing donor/provenance; missing geography/neighborhood,The cover and June page appear to be the same item and are cataloged here as a single calendar rather than separate records.
medium,SRM-2026-053,Free Mississippi in '64 campaign sticker or handbill,Archive,Civil Rights Collection,Civil Rights and Citizenship,,1964,,,verify/confirm language; missing donor/provenance; missing geography/neighborhood,"Confirm whether object is a sticker, handbill, or sign."
medium,SRM-2026-054,"Democratic National Convention reserved section ticket, August 24, 1964",Archive,Political History Collection,Civil Rights and Citizenship,John M. Bailey,1964-08-24 00:00:00,,,tentative interpretation; missing donor/provenance; missing geography/neighborhood,Consider cross-referencing with Freedom Democratic Party materials if present elsewhere in the collection.
medium,SRM-2026-061,The Jackson Advocate holdings (May-October 2012),Newspaper / Periodical,Newspapers And Periodicals,Civic Leadership,,May 2012-October 2012,,"Jackson, Mississippi",tentative interpretation; missing donor/provenance,Source image: 7.png. Label transcription: Jackson Advocate / May 2012 thru October 2012 / Add to other 2012's.
medium,SRM-2026-068,"Mixed periodicals folder (Close Up, Focus, National Alliance, Burning Spear, Planet, Northeast Ledger, South Reporter)",Newspaper / Periodical,Newspapers And Periodicals,Community and Professional Life,,1968-2007 selections,,"Jackson, Mississippi",tentative interpretation; missing donor/provenance,"Source image: 14.png. Label transcription: Close Up - 1968, 1969; Focus 1997; National Alliance - 1984; Burning Spear - 1984; Planet - August 2002; Northeast Ledger - March 29, 2006 and April 15, 2006; South Reporter - May 24, 2007."
medium,SRM-2026-069,The Clarion-Ledger election-related issues (1989-2011 selections),Newspaper / Periodical,Newspapers And Periodicals,Civic Leadership,Barack Obama,1989-2011 selections,,"Jackson, Mississippi",tentative interpretation; missing donor/provenance,"Source image: 15.png. Label transcription: The Clarion Ledger / December 9, 2000 / February 5, 1989 / November 10, 2005 / January 23, 2006 / June 23, 2006 / September 13, 2006 / October 13, 2006 / Nov. 3, 2008 / Nov. 8, 2008 / May 8, 2009 / May 20, 2009 / Jan. 21, 2009 / April 6, 2010 / April 14, 2011 / Papers with the election of Barack Obama 44th President."
medium,SRM-2026-071,Jackson Free Press holdings (May-December 2008 selections),Newspaper / Periodical,Newspapers And Periodicals,Civic Leadership,,May-December 2008 selections,,"Jackson, Mississippi",tentative interpretation; missing donor/provenance,"Source image: 17.png. Label transcription: Jackson Free Press / May 22-28, 2008 / May 29-June 4, 2008 / July 31-Aug 2008 / Aug 14-20 2008 / Sept 11-17, 2008 / Sept 25-Oct 1, 2008 / Oct 16-22, 2008 / Oct 30-Nov 5, 2008 / Oct 23-29, 2008 / Dec 18-24, 2008."
medium,SRM-2026-078,Smith Robertson class portrait with teacher,Photograph,School History Collection,African American Education,,,,Smith Robertson Campus,no named people on person-centered image; missing object date; missing donor/provenance,Source image: Untitled design (38)/4.png. Some image wear visible around edges.
medium,SRM-2026-082,Carved wooden face mask,Artifact,Museum Object Collection,Arts And Culture,,,,Geographies To Be Confirmed,tentative interpretation; missing object date; missing donor/provenance,Source image: Untitled design (37)/3.png. Cultural attribution should be confirmed by collections staff.
medium,SRM-2026-084,Tomorrow Was Yesterday,Archive,Museum Library,Arts And Culture,James N. Brown,,,Geographies To Be Confirmed,tentative interpretation; missing object date; missing donor/provenance,Source image: Untitled design (37)/5.png.
medium,SRM-2026-085,On-the-Job Education in Rural Communities (inscribed title-page copy),Archive,Museum Library,African American Education,Roy W. Roberts; Betty Mae York,1947-02-01 00:00:00,,Rural communities,tentative interpretation; missing donor/provenance,Source image: Untitled design (37)/6.png. May be the same physical publication as SRM-2026-086 photographed from a different side.
medium,SRM-2026-086,On-the-Job Education in Rural Communities (cover copy),Archive,Museum Library,African American Education,,1947-02-01 00:00:00,,Rural communities,tentative interpretation; missing donor/provenance,Source image: Untitled design (37)/7.png. May represent the same physical publication as SRM-2026-085.
medium,SRM-2026-087,Closing Day Treasury,Archive,Museum Library,African American Education,Marie Irish; Elizabeth F. Guptill,,,Geographies To Be Confirmed,tentative interpretation; missing object date; missing donor/provenance,Source image: Untitled design (37)/8.png.
medium,SRM-2026-091,Rules and Regulations for the Certification of the Administrative and Instructional Personnel (plain copy),Archive,School History Collection,African American Education,Bilbo Young,1958 revision,,Mississippi,tentative interpretation; missing donor/provenance,Source image: Untitled design (37)/12.png. May duplicate or accompany SRM-2026-083.
medium,SRM-2026-092,The County Superintendent of Schools in the United States,Archive,Museum Library,African American Education,,,,United States,tentative interpretation; missing object date; missing donor/provenance,Source image: Untitled design (37)/13.png.
medium,SRM-2026-096,Bound scrapbook or notebook with inserted typed historical document,Archive,Archives Collection,Civic Leadership,,,,Geographies To Be Confirmed,tentative interpretation; missing object date; missing donor/provenance,Source image: Untitled design (37)/17.png. Detailed identification should be completed from the original object before public release.
medium,SRM-2026-097,Beaded gourd vessel with white and red netting,Artifact,Museum Object Collection,Arts And Culture,,,,Geographies To Be Confirmed,tentative interpretation; missing object date; missing donor/provenance,Source image: Untitled design (37)/18.png. Cultural attribution should be confirmed.
medium,SRM-2026-098,Beaded gourd vessel marked Kuba,Artifact,Museum Object Collection,Arts And Culture,,,,Kuba,tentative interpretation; missing object date; missing donor/provenance,Source image: Untitled design (37)/19.png. Attribution and meaning of inscription should be verified.
medium,SRM-2026-102,Opera/South program packet,Archive,Programs And Ephemera,Arts And Culture,,,,"Jackson, Mississippi",tentative interpretation; missing object date; missing donor/provenance,Source image: Untitled design (37)/23.png. May contain multiple related pieces that could later be cataloged separately.
medium,SRM-2026-103,SRA Reading Laboratory IIa student record book,Archive,School History Collection,African American Education,James Earl Dixon?,,,Smith Robertson Campus,tentative interpretation; missing object date; missing donor/provenance,"Source image: Untitled design (37)/24.png. Student name appears to read James Earl Dixon, but should be verified from the object."
medium,SRM-2026-115,"Grouped artifacts including camera, soap box, and two small irons",Artifact,Material Culture Collection,Material Culture and Interpretation,,,,Geographies To Be Confirmed,tentative interpretation; missing object date,"Documents everyday household and consumer objects that may relate to domestic life, photography, and material culture."
medium,SRM-2026-119,Interior photograph of women working in laundry room,Photograph,Photograph Collection,Black Business and Professional Life,unidentified women,,,Geographies To Be Confirmed,verify/confirm language; missing object date; missing donor/provenance,Provisional title based on image review. Confirm location
medium,SRM-2026-123,Portrait clipping of Virginia Scott (Scott Ford Houses),Archive,Biographical And Civic History Collection,Portraiture and Community Memory,Virginia Scott,,,Scott Ford Houses,verify/confirm language; missing object date; missing donor/provenance,Identification updated from cursory visual review against original SRM/45.png. Confirm full biographical details from source documentation.
medium,SRM-2026-125,"""Delta Fishing"" woodcut print",Artifact,Art Collection,Arts And Culture,,1950,,Mississippi,verify/confirm language; tentative interpretation; missing donor/provenance,Title and date appear to be visible in the image. Confirm artist signature and edition details from the original.
medium,SRM-2026-127,Cotton branch photograph,Photograph,Photograph Collection,Agriculture and Labor,,,,Mississippi,no named people on person-centered image; missing object date; missing donor/provenance,Exact context and date are unidentified in the current image.
medium,SRM-2026-130,Sony Walkman cassette player,Artifact,Material Culture Collection,Arts And Culture,,late 20th century,,Geographies To Be Confirmed,verify/confirm language; missing donor/provenance,Confirm exact model number and manufacturing date from the object.
medium,SRM-2026-131,Portrait photograph of O.B. Cobbins,Photograph,Photograph Collection,Portraiture and Community Memory,O.B. Cobbins,,,Geographies To Be Confirmed,verify/confirm language; missing object date; missing donor/provenance,"Identification supplied during image review. Verify full name, date, and any associated biography from object documentation."
medium,SRM-2026-132,Portrait photograph of Mary Scott (Scott Ford Houses),Photograph,Photograph Collection,Portraiture and Community Memory,Mary Scott,,,Scott Ford Houses,verify/confirm language; missing object date; missing donor/provenance,Created from original SRM/29.png after cursory visual review suggested the image was not yet represented elsewhere in the current database. Confirm date and biographical details from source documentation.
medium,SRM-2026-136,White enamel wash basin,Artifact,SRM Collection,Material Culture and Interpretation,,,,,missing object date; missing donor/provenance; missing geography/neighborhood,"Created from original SRM/4.png based on the 2026-07-03 cursory reconciliation pass. Best automated candidate was coll016.png at distance 21, but the image was triaged as likely not represented. Review before publishing or deduplicating."
medium,SRM-2026-147,Light-colored felt hat,Artifact,SRM Collection,Material Culture and Interpretation,,,,,missing object date; missing donor/provenance; missing geography/neighborhood,"Created from original SRM/15.png based on the 2026-07-03 cursory reconciliation pass. Best automated candidate was coll092.png at distance 24, but the image was triaged as likely not represented. Review before publishing or deduplicating."
medium,SRM-2026-148,"Personal effects group with hat, handbag, and printed materials",Artifact,SRM Collection,Family And Local Life,,,,,missing object date; missing donor/provenance; missing geography/neighborhood,Individual paper items would benefit from closer object-level identification.
medium,SRM-2026-152,Eyeglasses in case,Artifact,SRM Collection,Material Culture and Interpretation,,,,,missing object date; missing donor/provenance; missing geography/neighborhood,"Created from original SRM/20.png based on the 2026-07-03 cursory reconciliation pass. Best automated candidate was coll092.png at distance 33, but the image was triaged as likely not represented. Review before publishing or deduplicating."
medium,SRM-2026-158,Framed photograph of doctor examining child with mother present,Artifact,SRM Collection,Midwives and Motherhood,unidentified doctor; unidentified mother; unidentified child,,,,missing object date; missing donor/provenance; missing geography/neighborhood,"Created from original SRM/26.png based on the 2026-07-03 cursory reconciliation pass. Best automated candidate was coll005.png at distance 43, but the image was triaged as likely not represented. Review before publishing or deduplicating."
medium,SRM-2026-159,Framed photograph of man playing bowed string instrument,Artifact,SRM Collection,Arts And Culture,unidentified musician,,,,missing object date; missing donor/provenance; missing geography/neighborhood,"Created from original SRM/27.png based on the 2026-07-03 cursory reconciliation pass. Best automated candidate was coll016.png at distance 26, but the image was triaged as likely not represented. Review before publishing or deduplicating."
